,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Time,Group_1,Time_2,Time_3,
Temnodontosaurus trigonodon,-0.392581649,2.986515743,-1.23720405,1.446636695,0.844166616,Jurassic,Ichthyosauromorpha,Early_Jurassic,Ladinian-EndCretaceous,Te.tr
Leptonectes tenuirostris,-1.010298724,2.577323609,-0.263470527,-1.599468107,1.613135084,Jurassic,Ichthyosauromorpha,Early_Jurassic,Ladinian-EndCretaceous,Le.te
Hauffiopteryx typicus,-3.030872268,2.720056763,-0.362730999,-1.584273893,0.137677266,Jurassic,Ichthyosauromorpha,Early_Jurassic,Ladinian-EndCretaceous,Ha.ty
Excalibosaurus costini,-2.147351294,3.22315213,-0.371020475,-0.704404701,1.012670687,Jurassic,Ichthyosauromorpha,Early_Jurassic,Ladinian-EndCretaceous,Ex.co
Eurhinosaurus longirostris,-0.239603432,2.651653698,0.177944592,1.434242722,0.519787495,Jurassic,Ichthyosauromorpha,Early_Jurassic,Ladinian-EndCretaceous,Eu.lo
Stenopterygius quadriscissus,-2.156721611,2.326065126,-1.044972957,-1.554587384,-0.280304489,Jurassic,Ichthyosauromorpha,Early_Jurassic,Ladinian-EndCretaceous,St.qu
Stenopterygius triscissus,-1.256858065,2.470734109,-0.274287795,1.642138356,1.271820689,Jurassic,Ichthyosauromorpha,Early_Jurassic,Ladinian-EndCretaceous,St.tr
Stenopterygius uniter,-0.772369429,2.997856998,-0.646693001,-0.724015408,0.64491523,Jurassic,Ichthyosauromorpha,Early_Jurassic,Ladinian-EndCretaceous,St.un
Ichthyosaurus communis   ,-1.956780304,2.043268036,-1.508945709,-1.609625466,0.552239207,Jurassic,Ichthyosauromorpha,Early_Jurassic,Ladinian-EndCretaceous,Ich.co
Ichthyosaurus somersetensis,-2.317717781,2.752284018,-0.952822347,-2.135990685,-0.376214287,Jurassic,Ichthyosauromorpha,Early_Jurassic,Ladinian-EndCretaceous,Ich.so
Ichthyosaurus larkini,-1.620870629,1.718404902,-1.053021211,-1.122550961,-0.35822083,Jurassic,Ichthyosauromorpha,Early_Jurassic,Ladinian-EndCretaceous,Ich.la
Ophthalmosaurus icenicus,-3.938777363,4.409570468,-0.568980816,-2.952569718,-0.933453195,Jurassic,Ichthyosauromorpha,Mid_Jurassic,Ladinian-EndCretaceous,Oph.ic
Ophthalmosaurus icenicus_d,-3.938777363,4.409570468,-0.568980816,-2.952569718,-0.933453195,NA,Ichthyosauromorpha,Late_Jurassic,NA,Oph.ic_d
Cryopterygius kristiansenae,-2.946986642,3.382497816,-1.681300085,-1.508625431,-0.975786015,Jurassic,Ichthyosauromorpha,Late_Jurassic,Ladinian-EndCretaceous,Cr.kr
Caypullysaurus bonapartei,-2.358629004,3.425394764,-1.371225469,-1.201668542,-1.181076493,Jurassic,Ichthyosauromorpha,Late_Jurassic,Ladinian-EndCretaceous,Ca.bo
Caypullysaurus bonapartei_d,-2.358629004,3.425394764,-1.371225469,-1.201668542,-1.181076493,Cretaceous,Ichthyosauromorpha,Early_Cretaceous,NA,Ca.bo_d
Platypterygius hercynicus,-3.44929137,4.557614241,-1.589461548,-3.792982014,-0.816248404,Cretaceous,Ichthyosauromorpha,Early_Cretaceous,Ladinian-EndCretaceous,Pl.he
Clarazia schinzi,-0.466090003,-1.620737113,-0.841566795,0.886287963,0.26435755,Triassic,Thalattosauria,Mid_Triassic,Induan-Anisian,Cl.sc
Clarazia schinzi_d,-0.466090003,-1.620737113,-0.841566795,0.886287963,0.26435755,NA,Thalattosauria,NA,Ladinian-EndCretaceous,Cl.sc_d
Askeptosaurus italicus,-0.433233264,-2.696838849,-1.826724703,-0.09190448,1.317577396,Triassic,Thalattosauria,Mid_Triassic,Induan-Anisian,As.it
Askeptosaurus italicus_d,-0.433233264,-2.696838849,-1.826724703,-0.09190448,1.317577396,NA,Thalattosauria,NA,Ladinian-EndCretaceous,As.it_d
Anshunsaurus huangguoshuensis,-1.302369455,-1.417142552,-0.322215812,-0.050226369,0.097658006,Triassic,Thalattosauria,Late_Triassic,Ladinian-EndCretaceous,An.hu
Miodentosaurus brevis,-0.619349927,-1.408473839,-0.368896502,0.107724969,-1.632744422,Triassic,Thalattosauria,Late_Triassic,Ladinian-EndCretaceous,Mi.br
Endennasaurus acutirostris,0.135683076,-2.7445744,-0.703396743,0.359612176,1.239936652,Triassic,Thalattosauria,Late_Triassic,Ladinian-EndCretaceous,En.ac
Hupehsuchus nanchangensis,-3.759088723,-0.16496683,1.578855294,0.356825818,0.483418315,Triassic,Ichthyosauromorpha,Early_Triassic,Induan-Anisian,Hu.na
Eretmophis carroldongi,-3.03493148,-0.212592662,2.445427537,-0.184494217,-0.323637126,Triassic,Ichthyosauromorpha,Early_Triassic,Induan-Anisian,Er.ca
Helveticosurus zollingeri,-0.732100923,-0.625890876,1.457195782,0.121415022,-1.127240782,Triassic,Saurosphargidae,Mid_Triassic,Induan-Anisian,He.zo
Largocephalosaurus polycarpon,-1.293942966,-1.37976271,0.60339019,-0.85354831,-0.560517059,Triassic,Saurosphargidae,Mid_Triassic,Induan-Anisian,La.po
Tanystropheus longobardicus,2.322452753,-2.937012377,0.105107418,1.33704498,-1.146388378,Triassic,Tanystropheidae,Mid_Triassic,Induan-Anisian,Ta.lo
Tanystropheus longobardicus_d,2.322452753,-2.937012377,0.105107418,1.33704498,-1.146388378,NA,Tanystropheidae,Late_Triassic,Ladinian-EndCretaceous,Ta.lo_d
Tanytrachelos ahynis,1.859075206,-3.194112612,0.18890735,-0.774380218,-0.284190658,Triassic,Tanystropheidae,Late_Triassic,Ladinian-EndCretaceous,Ta.ah
Dinocephalosaurus orientalis,0.482728017,-1.35599357,0.181008295,1.036631357,-1.316270504,Triassic,Tanystropheidae,Mid_Triassic,Induan-Anisian,Di.or
Atopodentatus unicus,-0.672867236,-1.157674562,0.294994578,-0.406395863,-1.391633397,Triassic,Sauropterygia,Mid_Triassic,Induan-Anisian,At.un
Odontochelys semitestacea,-0.175496824,-1.594673504,0.694552231,-0.893937828,0.098340856,Triassic,Pantestudines,Late_Triassic,Ladinian-EndCretaceous,Od.se
Proganochelys quenstedti,-0.14160029,-1.955888098,1.150651735,-1.121128818,-1.014110873,Triassic,Pantestudines,Late_Triassic,Ladinian-EndCretaceous,Pr.qu
Eorhynchochelys sinensis,0.026251515,-1.90317377,0.653013789,0.435503457,0.414259267,Triassic,Pantestudines,Late_Triassic,Ladinian-EndCretaceous,Eo.si
Platysuchus multicrobiculatus,-0.34040431,-2.40226033,-2.093476015,-0.186592475,1.777799928,Jurassic,Thalattosuchia,Early_Jurassic,Ladinian-EndCretaceous,Pl.mu
Pelagosaurus typus,-0.285673569,-2.554676799,-2.722589742,0.544909872,2.056651648,Jurassic,Thalattosuchia,Early_Jurassic,Ladinian-EndCretaceous,Pe.ty
Steneosaurus bollensis,-0.36270459,-2.170250198,-2.127264847,0.542163183,2.150249447,Jurassic,Thalattosuchia,Early_Jurassic,Ladinian-EndCretaceous,St.bo
Metriorhynchus superciliosus,-0.618466088,-1.947236732,-3.74802208,-0.404852389,0.046858362,Jurassic,Thalattosuchia,Mid_Jurassic,Ladinian-EndCretaceous,Me.su
Metriorhynchus superciliosus_d,-0.618466088,-1.947236732,-3.74802208,-0.404852389,0.046858362,NA,Thalattosuchia,Late_Jurassic,NA,Me.su_d
Cricosaurus suevicus,-1.072519406,-1.272507839,-3.506452185,0.743529865,0.449199506,Jurassic,Thalattosuchia,Late_Jurassic,Ladinian-EndCretaceous,Cr.su
Cricosaurus bambergensis,-1.142968763,-1.935240107,-3.681847615,0.523397511,0.555367236,Jurassic,Thalattosuchia,Late_Jurassic,Ladinian-EndCretaceous,Cr.ba
Dakosaurus maximus,-1.262926698,-1.617006432,-2.770015653,0.629062725,-1.104467392,Jurassic,Thalattosuchia,Late_Jurassic,Ladinian-EndCretaceous,Da.ma
Kallimodon pulchellus,0.594403536,-2.958167136,0.581034486,0.63905589,1.069767286,Jurassic,Rhynchocephalia,Late_Jurassic,Ladinian-EndCretaceous,Ka.pu
Kallimodon cerinensis ,0.301547498,-2.801373794,0.693261358,0.592507034,0.972639771,Jurassic,Rhynchocephalia,Late_Jurassic,Ladinian-EndCretaceous,Ka.ce
Sapheosaurus thiollierei,0.09646377,-2.837092214,0.426801385,0.761157375,1.0571627,Jurassic,Rhynchocephalia,Late_Jurassic,Ladinian-EndCretaceous,Sa.th
Vadasaurus herzogi,1.479181524,-2.592485581,0.180922334,0.926003415,1.978028803,Jurassic,Rhynchocephalia,Late_Jurassic,Ladinian-EndCretaceous,Va.he
Palaeopleurosaurus posidoniae,-1.655580285,-1.985281599,-0.753426157,1.421784335,-0.642175991,Jurassic,Rhynchocephalia,Early_Jurassic,Ladinian-EndCretaceous,Pa.po
Pleurosaurus ginsburgi,-1.414996722,-2.246707155,-1.816161868,3.115912506,-1.279807035,Jurassic,Rhynchocephalia,Late_Jurassic,Ladinian-EndCretaceous,Ple.gi
Pleurosaurus goldfussi,-2.148164697,-2.332647365,-1.091754346,1.458073639,-0.779776357,Jurassic,Rhynchocephalia,Late_Jurassic,Ladinian-EndCretaceous,Ple.go
Eurysternum wagleri,-0.065971437,-1.726974398,0.748164177,-0.827002964,-1.375114856,Jurassic,Pantestudines,Late_Jurassic,Ladinian-EndCretaceous,Eu.wa
Idiochelys fitzingeri,0.695705742,-1.482628152,1.607035459,-0.695031341,0.074956176,Jurassic,Pantestudines,Late_Jurassic,Ladinian-EndCretaceous,Id.fi
Platychelys oberndorferi,-0.630314627,-1.519386136,2.310397544,-0.102704925,-0.315901125,Jurassic,Pantestudines,Late_Jurassic,Ladinian-EndCretaceous,Pla.ob
Xinjiangchelys wusu,-0.005371076,-2.021533541,0.299211831,-0.540583174,-1.237862097,Jurassic,Pantestudines,Mid_Jurassic,Ladinian-EndCretaceous,Xi.wu
Aigialosaurus bucchichi,-1.532528081,-1.807525422,-0.246462601,0.790995319,0.104877091,Cretaceous,Mosasauroidea,Late_Cretaceous,Ladinian-EndCretaceous,Ai.bu
Halisaurus sternbergii,-1.848669339,0.087530158,0.195585619,1.012233753,-0.118533186,Cretaceous,Mosasauroidea,Late_Cretaceous,Ladinian-EndCretaceous,Ha.st
Clidastes prophyton,-3.515918836,0.657632834,0.810285398,0.666205172,-0.970666768,Cretaceous,Mosasauroidea,Late_Cretaceous,Ladinian-EndCretaceous,Cl.pr
Mosasaurus lemonnieri,-2.424190822,1.700688885,0.913818618,1.840142399,-0.866935781,Cretaceous,Mosasauroidea,Late_Cretaceous,Ladinian-EndCretaceous,Mo.le
Plotosaurus bennisoni,-1.298968804,1.770156776,0.800215251,2.714289326,0.424935982,Cretaceous,Mosasauroidea,Late_Cretaceous,Ladinian-EndCretaceous,Plo.be
Platecarpus tympaniticus,-2.061137986,0.936312244,1.090875096,1.248441069,-0.37670861,Cretaceous,Mosasauroidea,Late_Cretaceous,Ladinian-EndCretaceous,Pla.ty
Tylosaurus proriger ,-1.292620893,1.272492796,0.262464467,1.72024482,0.102361855,Cretaceous,Mosasauroidea,Late_Cretaceous,Ladinian-EndCretaceous,Ty.pr 
Jeholochelys lingyuanensis,1.638572095,-1.839351347,1.141454684,-0.927265061,0.39601232,Cretaceous,Pantestudines,Early_Cretaceous,Ladinian-EndCretaceous,Je.li
Ordosemys liaoxiensis,1.083658573,-1.57396584,1.428054664,-0.716364321,-0.027742912,Cretaceous,Pantestudines,Early_Cretaceous,Ladinian-EndCretaceous,Or.li
Hoyasemys jimenezi,1.341994822,-1.629828259,1.684164928,-0.275279472,0.702139363,Cretaceous,Pantestudines,Early_Cretaceous,Ladinian-EndCretaceous,Ho.ji
Protostega gigas,3.096087942,-0.626574621,3.046607395,-3.052678548,1.832739854,Cretaceous,Pantestudines,Late_Cretaceous,Ladinian-EndCretaceous,Pr.gi
Archelon ischyros,2.33028288,0.453433369,2.95692661,-2.455718505,0.755932398,Cretaceous,Pantestudines,Late_Cretaceous,Ladinian-EndCretaceous,Ar.is
Rhinochelys nammourensis,0.134638646,-0.486214506,1.57017722,-0.904792932,0.190518641,Cretaceous,Pantestudines,Late_Cretaceous,Ladinian-EndCretaceous,Rhi.na
Toxochelys latiremis,1.115938162,-1.269911825,1.779395795,-1.680056097,-0.503246161,Cretaceous,Pantestudines,Late_Cretaceous,Ladinian-EndCretaceous,To.la
