,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Time,Time_2,Locomotion,Group_1,Group_2,Name,Num
Hoyasemys jimenezi,0.56516464,-1.382286692,0.087500459,0.449398519,0.398987773,Cretaceous,1,Pantestudines,Pantestudines,Amniotes,Ho.ji,91
Idiochelys fitzingeri,0.373172313,-1.36254088,-0.275395879,0.335391033,-0.082888681,Jurassic,1,Pantestudines,Pantestudines,Amniotes,Id.fi,92
Jeholochelys lingyuanensis,0.555628897,-1.431286269,0.274791878,0.38571268,0.359275348,Cretaceous,1,Pantestudines,Pantestudines,Amniotes,Je.li,93
Odontochelys semitestacea,-0.551900206,-0.866841279,0.162450295,0.562454259,-0.074767635,Triassic,1,Pantestudines,Pantestudines,Amniotes,Od.se,94
Ordosemys liaoxiensis,0.136383209,-1.40183915,-0.098660523,0.14123501,0.144712254,Cretaceous,1,Pantestudines,Pantestudines,Amniotes,Or.li,95
Platychelys oberndorferi,-0.765079802,-1.204133555,-0.905088977,0.102539994,0.096117684,Jurassic,1,Pantestudines,Pantestudines,Amniotes,Pla.ob,96
Proganochelys quenstedti,-0.962617579,-1.085838977,-0.852009879,0.008460558,-0.533729985,Triassic,1,Pantestudines,Pantestudines,Amniotes,Pr.qu,97
Protostega gigas,2.924165463,-2.32546607,-0.247745907,2.890159483,0.341684465,Cretaceous,1,Pantestudines,Pantestudines,Amniotes,Pr.gi,98
Rhinochelys nammourensis,0.579545085,-0.78547662,-0.830396199,1.182910993,0.318660619,Cretaceous,1,Pantestudines,Pantestudines,Amniotes,Rhi.na,99
Toxochelys latiremis,0.704107972,-1.752042178,-0.819405106,0.648274511,-0.432071364,Cretaceous,1,Pantestudines,Pantestudines,Amniotes,Tox.la,100
Xinjiangchelys wusu,-0.917727989,-1.217768725,-0.365258437,-0.449276671,-0.385432337,Jurassic,1,Pantestudines,Pantestudines,Amniotes,Xi.wu,101
Cricosaurus bambergensis,-2.143529152,1.514055074,2.039058433,0.583272599,-1.034300784,Jurassic,1,Thalattosuchia,Thalattosuchia,Amniotes,Cr.ba,102
Cricosaurus suevicus,-1.564865216,2.360170475,1.415638138,0.563534198,-0.451478286,Jurassic,1,Thalattosuchia,Thalattosuchia,Amniotes,Cr.su,103
Dakosaurus maximus,-1.802252843,1.635209757,0.323572992,-0.502685304,-0.982706841,Jurassic,1,Thalattosuchia,Thalattosuchia,Amniotes,Da.ma,104
Metriorhynchus superciliosus,-1.393967107,1.602734772,2.012166238,0.09378476,-2.050912319,Jurassic,1,Thalattosuchia,Thalattosuchia,Amniotes,Me.su,105
Pelagosaurus typus,-1.371575627,0.996683564,3.177142605,0.498614507,-0.535599187,Jurassic,1,Thalattosuchia,Thalattosuchia,Amniotes,Pe.ty,106
Platysuchus multicrobiculatus,-1.132728111,0.842307393,2.647820195,0.635829697,-0.845109798,Jurassic,1,Thalattosuchia,Thalattosuchia,Amniotes,Pl.mu,107
Steneosaurus bollensis,-0.870603396,1.375203301,2.795189953,0.447186791,-0.621908696,Jurassic,1,Thalattosuchia,Thalattosuchia,Amniotes,St.bo,108
Anshunsaurus huangguoshuensis,-1.127947069,0.454412569,0.8574889,-0.258662799,0.277185079,Triassic,1,Thalattosauria,Thalattosauria,Amniotes,An.hu,109
Askeptosaurus italicus,-1.003804164,0.288735478,3.763024271,-0.972073091,0.605761764,Triassic,1,Thalattosauria,Thalattosauria,Amniotes,As.it,110
Clarazia schinzi,-0.843002984,0.151908923,1.475572954,-0.855121779,0.987857305,Triassic,1,Thalattosauria,Thalattosauria,Amniotes,Cl.sc,111
Endennasaurus acutirostris,-0.849347597,-0.153185107,2.805921517,-0.919664422,1.756300043,Triassic,1,Thalattosauria,Thalattosauria,Amniotes,En.ac,112
Miodentosaurus brevis,-1.180098294,-0.050852074,0.242896582,-1.819490546,1.28604547,Triassic,1,Thalattosauria,Thalattosauria,Amniotes,Mio.br,113
Helveticosurus zollingeri,-0.16057203,-0.16009341,-1.581124666,-0.393758143,-0.295064064,Triassic,1,Saurosphargidae,Saurosphargidae,Amniotes,He.zo,114
