,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Time,Time_2,Locomotion,Group_1,Group_2,Name,Num
Ichthyosaurus somersetensis,4.104177428,-0.502263567,-0.099531122,-2.08742529,-0.085670784,Jurassic,1,Ichthyosauromorpha,Reptile,Amniotes,Ich.so,65
Leptonectes tenuirostris,3.177464957,0.785480294,0.056727819,-1.921484344,1.520893383,Jurassic,1,Ichthyosauromorpha,Reptile,Amniotes,Le.te,66
Mixosaurus cornalianus,3.626702612,-1.453403195,1.747418596,-1.023335306,0.847303233,Triassic,1,Ichthyosauromorpha,Reptile,Amniotes,Mi.co,67
Mixosaurus xindianensis,3.490083189,-1.514930318,1.679321312,-1.008211709,0.228402738,Triassic,1,Ichthyosauromorpha,Reptile,Amniotes,Mi.xi,68
Ophthalmosaurus icenicus,6.34391929,-1.089472924,1.077158308,-2.772396083,-0.220347372,Jurassic,1,Ichthyosauromorpha,Reptile,Amniotes,Oph.ic,69
Phalarodon atavus,3.199620271,-1.98961002,1.601471876,-0.153776613,0.515682147,Triassic,1,Ichthyosauromorpha,Reptile,Amniotes,Ph.at,70
Platypterygius hercynicus,6.392091589,-0.67733443,0.18604772,-3.616510484,-0.163395378,Cretaceous,1,Ichthyosauromorpha,Reptile,Amniotes,Pl.he,71
Qianichthyosaurus zhoui,1.515562831,0.957322532,0.051131058,0.875452039,0.962965405,Triassic,1,Ichthyosauromorpha,Reptile,Amniotes,Qi.zh,72
Shonisaurus popularis,3.897241819,2.543241638,-0.015174037,3.232596616,1.629262753,Triassic,1,Ichthyosauromorpha,Reptile,Amniotes,Sh.po,73
Stenopterygius quadriscissus,3.712669569,-0.550331922,-0.374480468,-1.542381849,0.010187409,Jurassic,1,Ichthyosauromorpha,Reptile,Amniotes,St.qu,74
Stenopterygius triscissus,3.183590544,0.74205069,-0.199703342,1.564942216,0.897996502,Jurassic,1,Ichthyosauromorpha,Reptile,Amniotes,St.tr,75
Stenopterygius uniter,3.558412299,0.972593363,-0.044170343,-0.66186626,0.765810186,Jurassic,1,Ichthyosauromorpha,Reptile,Amniotes,St.un,76
Suevoleviathan integer,2.961491328,0.343943973,-0.371924311,-1.011863225,1.956205035,Jurassic,1,Ichthyosauromorpha,Reptile,Amniotes,Su.in,77
Temnodontosaurus trigonodon,3.560207568,1.30913099,-0.775920282,1.462582859,1.224687773,Jurassic,1,Ichthyosauromorpha,Reptile,Amniotes,Te.tr,78
Utatsusaurus hataii,1.504287539,-2.28402757,0.560139895,1.10406817,-0.080207624,Triassic,1,Ichthyosauromorpha,Reptile,Amniotes,Ut.ha,79
Xinminosaurus catactes,1.843301046,-1.223293741,0.673461748,1.494906605,-0.57616462,Triassic,1,Ichthyosauromorpha,Reptile,Amniotes,Xi.ca,80
Aigialosaurus bucchichi,-0.189609621,-1.736822882,-1.109145274,0.494929328,-0.053563707,Cretaceous,1,Mosasauroidea,Reptile,Amniotes,Ai.bu,81
Clidastes prophyton,2.634504213,-2.191050121,0.688698584,0.406581452,-0.605758581,Cretaceous,1,Mosasauroidea,Reptile,Amniotes,Cl.pr,82
Halisaurus sternbergii,1.389148804,-1.04064593,-0.175129277,0.916063776,-0.275223536,Cretaceous,1,Mosasauroidea,Reptile,Amniotes,Ha.st,83
Mosasaurus lemonnieri,3.144251611,-0.784124471,0.827090561,1.680800437,-0.429168316,Cretaceous,1,Mosasauroidea,Reptile,Amniotes,Mo.le,84
Platecarpus tympaniticus,2.380192774,-0.87860322,0.677793906,0.930321363,-0.127353271,Cretaceous,1,Mosasauroidea,Reptile,Amniotes,Pla.ty,85
Plotosaurus bennisoni,2.737344656,0.207223926,0.360405419,2.263251639,0.608556948,Cretaceous,1,Mosasauroidea,Reptile,Amniotes,Plo.be,86
Tylosaurus proriger ,2.328497438,-0.056549163,0.116630436,1.626775241,0.302450377,Cretaceous,1,Mosasauroidea,Reptile,Amniotes,Ty.pr ,87
Archelon ischyros,-0.718627696,2.579327479,2.106743024,-2.429238982,0.05272101,Cretaceous,1,Pantestudines,Reptile,Amniotes,Ar.is,88
Eorhynchochelys sinensis,-0.688394095,-0.593920017,-0.628686712,0.066898085,0.201326297,Triassic,1,Pantestudines,Reptile,Amniotes,Eo.si,89
Eurysternum wagleri,-1.051783387,-1.072014796,0.109607293,-0.607991187,-1.184751495,Jurassic,1,Pantestudines,Reptile,Amniotes,Eu.wa,90
Hoyasemys jimenezi,-1.672717223,0.623022945,0.442152396,-0.348238478,0.108146681,Cretaceous,1,Pantestudines,Reptile,Amniotes,Ho.ji,91
Idiochelys fitzingeri,-1.376798956,0.12710036,0.555710401,-0.648989006,-0.490687122,Jurassic,1,Pantestudines,Reptile,Amniotes,Id.fi,92
Jeholochelys lingyuanensis,-1.819801403,0.520838201,-0.018902407,-0.932298154,-0.064499789,Cretaceous,1,Pantestudines,Reptile,Amniotes,Je.li,93
Odontochelys semitestacea,-0.898329863,-0.73352383,-0.051368025,-0.883991543,-0.11121842,Triassic,1,Pantestudines,Reptile,Amniotes,Od.se,94
Ordosemys liaoxiensis,-1.385896197,0.253381372,0.358358739,-0.679171885,-0.386933724,Cretaceous,1,Pantestudines,Reptile,Amniotes,Or.li,95
Platychelys oberndorferi,-0.797956293,-0.925186065,1.19845386,-0.235740774,-0.729568324,Jurassic,1,Pantestudines,Reptile,Amniotes,Pla.ob,96
Proganochelys quenstedti,-1.234582547,-1.105762717,0.373893328,-0.873096747,-1.055200338,Triassic,1,Pantestudines,Reptile,Amniotes,Pr.qu,97
Protostega gigas,-1.987186029,2.587311428,1.95989419,-3.108504347,1.014855714,Cretaceous,1,Pantestudines,Reptile,Amniotes,Pr.gi,98
Rhinochelys nammourensis,-0.380691393,0.141479472,0.875299232,-0.979764003,-0.175967771,Cretaceous,1,Pantestudines,Reptile,Amniotes,Rhi.na,99
Toxochelys latiremis,-1.42528917,0.442162177,0.869197665,-1.528068131,-0.927666092,Cretaceous,1,Pantestudines,Reptile,Amniotes,Tox.la,100
Xinjiangchelys wusu,-1.200133583,-0.973198255,-0.504644199,-0.398209364,-1.251332298,Jurassic,1,Pantestudines,Reptile,Amniotes,Xi.wu,101
Cricosaurus bambergensis,-0.209676097,-2.118638584,-3.557800619,0.654349717,1.154172476,Jurassic,1,Thalattosuchia,Reptile,Amniotes,Cr.ba,102
Cricosaurus suevicus,0.371413874,-1.728947258,-3.444618208,0.733157233,1.123586687,Jurassic,1,Thalattosuchia,Reptile,Amniotes,Cr.su,103
Dakosaurus maximus,0.130944251,-2.051995908,-2.828850494,0.807317177,-0.412047989,Jurassic,1,Thalattosuchia,Reptile,Amniotes,Da.ma,104
Metriorhynchus superciliosus,-0.381650153,-1.752920717,-3.666450038,-0.146614459,0.582428437,Jurassic,1,Thalattosuchia,Reptile,Amniotes,Me.su,105
Pelagosaurus typus,-1.111206035,-1.402967399,-3.185824407,0.471721294,2.090676905,Jurassic,1,Thalattosuchia,Reptile,Amniotes,Pe.ty,106
Platysuchus multicrobiculatus,-1.03568679,-1.401435151,-2.544085095,-0.224007783,1.780543831,Jurassic,1,Thalattosuchia,Reptile,Amniotes,Pl.mu,107
Steneosaurus bollensis,-0.774515009,-1.12923346,-2.667948811,0.411125941,2.095825136,Jurassic,1,Thalattosuchia,Reptile,Amniotes,St.bo,108
Anshunsaurus huangguoshuensis,0.148422804,-1.494615655,-1.000296336,-0.300580891,0.160532981,Triassic,1,Thalattosauria,Reptile,Amniotes,An.hu,109
Askeptosaurus italicus,-0.809384349,-1.363662551,-2.960465555,-0.644241898,1.165307745,Triassic,1,Thalattosauria,Reptile,Amniotes,As.it,110
Clarazia schinzi,-0.173129297,-0.967706053,-1.78520726,0.554535254,0.156271769,Triassic,1,Thalattosauria,Reptile,Amniotes,Cl.sc,111
Endennasaurus acutirostris,-1.195157663,-0.901037398,-2.123304207,-0.197161216,0.987952476,Triassic,1,Thalattosauria,Reptile,Amniotes,En.ac,112
Miodentosaurus brevis,0.181898391,-1.243603096,-1.21858305,-0.060209663,-1.335371389,Triassic,1,Thalattosauria,Reptile,Amniotes,Mio.br,113
Helveticosurus zollingeri,0.050421785,-0.606453518,0.766210113,0.241438543,-1.378386898,Triassic,1,Saurosphargidae,Reptile,Amniotes,He.zo,114
Largocephalosaurus polycarpon,-0.161619828,-1.440538043,0.010695902,-0.797092346,-0.817793663,Triassic,1,Saurosphargidae,Reptile,Amniotes,La.po,115
Dinocephalosaurus orientalis,-0.664538354,0.373456916,-1.212628585,0.677317068,-1.62289601,Triassic,1,Tanystropheidae,Reptile,Amniotes,Di.or,116
Tanystropheus longobardicus,-2.686385994,1.235232334,-2.086489907,0.775766676,-1.470015232,Triassic,1,Tanystropheidae,Reptile,Amniotes,Ta.lo,117
Tanytrachelos ahynis,-2.794463574,-0.121662019,-1.133623385,-0.620077351,-0.55545183,Triassic,1,Tanystropheidae,Reptile,Amniotes,Ta.ah,118
Kallimodon cerinensis ,-1.886907808,-0.946266883,-0.56682733,0.399828273,0.654558569,Jurassic,1,Rhynchocephalia,Reptile,Amniotes,Ka.ce,119
Kallimodon pulchellus,-2.025996292,-0.817160131,-0.798956592,0.399091752,0.734934188,Jurassic,1,Rhynchocephalia,Reptile,Amniotes,Ka.pu,120
Palaeopleurosaurus posidoniae,-0.160569367,-2.117006308,-1.535658261,1.300450527,-0.635256428,Jurassic,1,Rhynchocephalia,Reptile,Amniotes,Pa.po,121
Pleurosaurus ginsburgi,-0.360891283,-2.186433348,-2.524388957,3.125412406,-0.92516794,Jurassic,1,Rhynchocephalia,Reptile,Amniotes,Ple.gi,122
Pleurosaurus goldfussi,-0.202702368,-2.691362134,-1.851213527,1.28480056,-0.675805895,Jurassic,1,Rhynchocephalia,Reptile,Amniotes,Ple.go,123
Sapheosaurus thiollierei,-1.575172295,-1.054074256,-1.021727458,0.388816835,0.68417933,Jurassic,1,Rhynchocephalia,Reptile,Amniotes,Sa.th,124
Vadasaurus herzogi,-1.945217455,0.118022847,-1.284801409,0.577588768,1.508693084,Jurassic,1,Rhynchocephalia,Reptile,Amniotes,Va.he,125
Alligator mississipiens,-1.268688837,-0.700384978,-0.522334522,0.300709675,0.898719056,Extant,2,Undulation,Reptile,Amniotes,All.mi,126
Amblyrhynchus cristatus,-1.638710484,-0.401381436,0.773700123,-1.580737367,1.854132986,Extant,2,Undulation,Reptile,Amniotes,Am.cr,127
Andrias japonicus,0.579121652,-2.681861681,-0.177822106,-0.12634112,-1.952620365,Extant,2,Undulation,Amphibian,Amphibian,An.ja,128
Aptenodytes patagonicus,-3.85785446,2.939598886,1.799901167,-1.483295932,1.924825497,Extant,2,Forelimb oscillation,Aves,Amniotes,Ap.pa,129
Arctocephalus pusillus,-1.566933878,0.377521126,5.159198767,0.654166695,0.38132005,Extant,2,Forelimb oscillation,Mammal,Amniotes,Ar.pu,130
Arvicola terrestris,-2.153095568,-1.740609415,1.272807403,0.950154844,0.351748194,Extant,2,Paddling,Mammal,Amniotes,Ar.te,131
Bufo bufo,-3.506588159,1.349506773,0.883446506,1.213057154,0.34087226,Extant,2,Rowing,Amphibian,Amphibian,Bu.bu,132
Caiman latirostris,-1.776672308,-1.072667274,-0.790515334,-0.494857517,1.720480248,Extant,2,Undulation,Reptile,Amniotes,Ca.la,133
Castor canadiensis,-2.107334203,-1.692471204,1.492760538,1.592759357,0.88508993,Extant,2,Paddling,Mammal,Amniotes,Cas.ca,134
Castor fiber,-2.080693641,-1.624953473,1.375054883,1.147312265,0.315909225,Extant,2,Paddling,Mammal,Amniotes,Cas.fi,135
Chelodina longicollis,-1.729809611,-0.905414325,0.586061805,-1.496978419,-1.64937205,Extant,2,Rowing,Reptile,Amniotes,Che.lo,136
Chelonia mydas,-0.536582463,2.337546367,2.485238145,-1.555626231,-0.596258946,Extant,2,Forelimb oscillation,Reptile,Amniotes,Che.my,137
Chelus fimbriata,-2.108474479,0.18751045,0.112498283,-1.120509834,-1.185549825,Extant,2,Rowing,Reptile,Amniotes,Che.fi,138
Chelydra serpentina,-1.224087335,-0.529296095,0.607554392,-1.182568723,-0.530925338,Extant,2,Rowing,Reptile,Amniotes,Che.se,139
Chitra chitra,-0.804496751,-0.915072784,-0.095704347,-1.372779252,0.096818529,Extant,2,Rowing,Reptile,Amniotes,Chi.ch,140
