Taxon,Trunk,NECK_ratio,TAIL_ratio,LOWERJAW_ratio,BRACHIAL_index,Hum_Flare,FORELIMB_ratio,MANUS_ratio,MANUS_AR,CRURAL_index,FORE_HIND_ ratio,Fem_Flare,HINDLIMB_ratio,PES_ratio,PES_AR,MANUS_PES_ratio,Time,Time_2,Locomotion,Group_1,Group_2
Neusticosaurus edwardsii,27.8,0.546,1.977,0.243,0.55,0.243,0.471,0.204,3.254,0.573,1.705,0.247,0.553,0.287,3.859,0.596,Triassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Neusticosaurus peyeri,8.1,0.642,2.284,0.406,0.505,0.322,0.619,0.176,2.637,0.511,1.145,0.154,0.658,0.269,3.88,0.629,Triassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Neusticosaurus pusillus,8.3,0.639,1.789,0.349,0.548,0.342,0.575,0.204,3.83,0.492,0.995,0.124,0.641,0.272,3.445,0.505,Triassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Paraplacodus broilii,30.5,0.295,2.836,0.416,0.642,0.356,0.804,0.283,2.166,0.706,1.148,0.229,0.777,0.311,2.718,1.035,Triassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Serpianosaurus mirigiolensis,14.7,0.628,2.286,0.477,0.587,0.335,0.541,0.164,3.025,0.558,1.063,0.161,0.574,0.246,3.413,0.503,Triassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Keichousaurus hui,5.7,1.196,2.071,0.453,0.487,0.252,0.816,0.247,2.009,0.357,1.183,0.135,0.7,0.282,1.876,0.715,Triassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Lariosaurus balsami,26,0.665,1.252,0.406,0.521,0.278,0.523,0.165,2.248,0.465,0.79,0.146,0.689,0.215,3.032,0.793,Triassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Lariosaurus valceresii,27.6,0.811,1.264,0.395,0.486,0.234,0.519,0.171,2.636,0.455,0.955,0.12,0.527,0.171,2.426,0.915,Triassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Lariosaurus xingyiensis,48.12,0.558,0.714,0.397,0.53,0.309,0.352,0.138,2.746,0.437,0.758,0.186,0.465,0.168,2.692,0.662,Triassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Nothosaurus youngi,43.5,0.647,1.271,0.474,0.558,0.309,0.513,0.207,1.82,0.496,0.909,0.134,0.663,0.247,2.594,0.999,Triassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Yunguisaurus liae,85.6,1.521,1.923,0.312,0.564,0.311,0.729,0.313,3.003,0.588,1.081,0.333,0.928,0.55,4.124,0.445,Triassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Psephochelys polyosteoderma,21.4,0.16,2.029,0.41,0.528,0.112,0.634,0.233,2.263,0.844,1.178,0.4,0.733,0.353,2.372,0.457,Triassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Sinocyamodus xinpuensis,39,0.256,1.338,0.372,0.613,0.342,0.64,0.2,1.683,0.741,0.957,0.181,0.766,0.276,1.981,0.616,Triassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Psephoderma alpinum,49.2,0.201,2.27,0.419,0.359,0.668,0.584,0.187,1.851,0.827,1.028,0.336,0.678,0.308,2.268,0.451,Triassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Thalassiodracon hawkinsii,41.62,1.447,1.569,0.458,0.341,0.472,1.046,0.596,5.301,0.332,0.99,0.421,1.103,0.627,5.117,0.872,Jurassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Atychodracon megacephalus,124.41,1.094,1.321,0.661,0.399,0.543,0.822,0.438,5.126,0.344,0.953,0.465,0.91,0.554,5.599,0.681,Jurassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Archaeonectrus rostratus,95.6,0.941,1.237,0.649,0.319,0.399,0.694,0.366,4.347,0.316,0.975,0.471,0.805,0.449,5.244,0.801,Jurassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Attenborosaurus conybeari,125.6,1.539,1.339,0.422,0.38,0.432,0.885,0.467,4.118,0.298,1,0.419,0.81,0.433,3.135,0.885,Jurassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Plesiosaurus sp,87.73,1.345,0.877,0.247,0.428,0.493,0.734,0.421,4.624,0.409,1.017,0.531,0.703,0.41,4.575,1.045,Jurassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Hauffiosaurus zanoni,82,1.134,1.165,0.524,0.302,0.391,0.995,0.498,4.452,0.284,0.925,0.36,0.949,0.435,3.344,0.984,Jurassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Meyerasaurus victor,92.71,0.878,1.194,0.448,0.34,0.476,1.324,0.698,4.477,0.313,1.079,0.433,1.238,0.692,4.438,1.011,Jurassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Microcleidus brachypterygius,59.97,2.255,1.719,0.36,0.362,0.488,1.197,0.657,4.501,0.379,1.046,0.5,1.232,0.706,4.967,0.955,Jurassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Rhomaleosaurus cramptoni,205.2,0.848,0.845,0.536,0.308,0.481,0.793,0.423,4.403,0.336,0.97,0.462,0.838,0.49,5.161,0.875,Jurassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Seeleyosaurus guilelmiimperatoris,84,1.607,1.528,0.248,0.375,0.479,0.942,0.484,2.688,0.379,1.057,0.479,1.033,0.595,3.845,0.946,Jurassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Plesiopterys wildi,53,1.632,1.415,0.279,0.37,0.524,0.923,0.485,4.19,0.306,0.994,0.512,0.934,0.484,4.169,0.997,Jurassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Cryptoclidus eurymerus,99,1.091,0.926,0.36,0.232,0.639,0.949,0.601,4.287,0.275,0.79,0.74,1.021,0.566,4.285,1.128,Jurassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Liopleurodon ferox,181,0.406,0.58,0.657,0.163,0.551,0.591,0.337,4.592,0.175,0.75,0.538,0.785,0.453,5.998,0.723,Jurassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Muraenosaurus leedsii ,140.7,1.41,0.999,0.291,0.308,0.606,0.628,0.374,4.569,0.237,1.061,0.547,0.607,0.384,5.001,1.038,Jurassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Peloneustes philarchus,135,0.459,0.996,0.589,0.197,0.553,0.696,0.363,3.945,0.201,0.864,0.443,0.822,0.43,5.211,0.943,Jurassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Kronosaurus boyacensis,282.5,0.393,1.064,0.857,0.15,0.402,0.651,0.371,5.577,0.128,0.818,0.41,0.685,0.401,6.333,0.974,Cretaceous,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Nichollssaura borealis,67.2,1.027,1.135,0.458,0.191,0.564,0.804,0.441,4.096,0.19,0.975,0.55,0.841,0.461,4.544,1.014,Cretaceous,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Thalassomedon haningtoni,308,1.977,0.396,0.156,0.295,0.659,0.537,0.369,5.081,0.261,1,0.584,0.52,0.349,5.129,1.125,Cretaceous,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Stenorhynchosaurus munozi,150,0.483,1.063,0.78,0.079,0.33,1.113,0.62,5.934,0.082,0.812,0.293,1.213,0.61,5.94,1.036,Cretaceous,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Libonectes atlasense,135,2.963,1.074,0.333,0.367,0.997,0.991,0.715,5.145,0.34,0.978,0.765,0.945,0.661,5.409,1.229,Cretaceous,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Polycotylus latipinnis,126.67,0.987,1.021,0.537,0.135,0.593,1.045,0.618,5.077,0.126,0.95,0.531,0.961,0.542,4.519,1.159,Cretaceous,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Styxosaurus sp,210,2.762,0.648,0.21,0.329,0.697,0.79,0.571,5.868,0.288,1.041,0.671,0.824,0.61,6.854,1.026,Cretaceous,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Albertonectes vanderveldei,188,3.723,1.29,0.246,0.313,0.565,0.741,0.471,5.069,0.245,1.053,0.589,0.717,0.467,5.16,1.039,Cretaceous,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
